id,cbo,rfc,lcom,ca,ce,npm,defects
77,7,20,0,2,5,6,0
78,17,20,33,16,1,8,1
79,6,7,0,5,1,2,1
80,22,144,1059,13,15,47,2
81,11,10,3,4,7,2,0
82,8,45,18,4,7,1,0
83,27,32,23,22,6,8,0
84,2,37,100,2,0,16,1
85,4,24,1,1,3,3,1
86,7,31,20,5,4,1,0
87,10,24,6,3,7,2,0
88,2,3,1,2,2,2,0
89,13,28,1,3,13,2,0
90,2,16,35,1,2,11,0
91,2,6,1,1,2,2,0
92,7,19,5,1,6,7,0
93,14,71,27,6,10,5,9
94,14,21,0,5,11,3,0
95,2,17,2,1,1,6,0
96,6,13,0,6,1,3,0
97,11,9,1,3,8,1,0
98,1,24,10,1,0,5,0
99,19,72,91,6,15,9,0
100,4,15,0,2,4,1,0
101,19,27,0,18,1,10,0
102,4,12,15,3,1,6,0
103,12,92,28,4,11,2,0
104,7,13,78,7,0,13,0
105,6,2,0,6,0,0,1
106,2,41,4,1,1,5,0
107,12,58,38,5,11,1,0
108,8,46,9,3,8,3,0
109,11,33,7,5,7,2,2
110,9,22,0,7,3,1,0
111,5,12,13,5,0,6,0
112,3,13,4,1,3,3,1
113,15,90,108,3,15,3,1
114,3,2,0,2,1,1,0
115,5,2,1,4,1,2,0
116,4,24,23,2,2,10,0
117,5,4,3,5,0,2,0
118,8,95,3655,0,8,84,0
119,5,4,1,1,4,2,0
120,7,28,0,1,7,3,0
121,17,78,102,11,15,8,7
122,4,8,0,1,3,0,0
123,3,2,1,3,1,2,0
124,2,5,0,1,1,3,0
125,18,26,33,14,5,11,0
126,3,12,0,2,1,3,0
127,18,38,28,1,17,1,0
128,12,19,1,1,11,1,0
129,6,9,0,4,2,3,0
130,8,5,1,2,6,1,0
131,10,47,0,1,9,1,3
132,6,17,0,3,3,5,0
133,10,9,1,1,9,1,0
134,11,18,3,1,10,1,0
135,6,33,3,3,4,3,0
136,13,26,0,12,1,12,3
137,6,20,3,1,6,1,1
138,6,40,9,3,5,4,0
139,184,374,5427,157,59,79,15
140,12,10,1,1,11,1,0
141,16,17,19,8,8,6,0
142,4,22,13,1,3,5,2
143,11,28,0,2,9,3,0
144,18,44,14,4,18,2,0
145,5,18,0,2,3,0,0
146,6,18,21,2,4,5,0
147,15,53,71,9,10,16,0
148,6,22,4,0,6,3,0
149,47,494,0,1,47,83,0
150,3,16,55,2,1,9,0
151,1,8,4,1,0,4,0
152,11,61,44,4,10,6,1
153,7,7,1,1,6,1,0
154,6,38,0,4,4,3,0
155,8,49,2,1,8,4,0
156,10,9,1,1,9,2,0
157,6,31,11,4,4,10,0
158,5,25,3,1,5,4,0
159,2,2,1,2,0,2,0
160,3,23,0,1,2,3,0
161,4,3,1,1,3,1,0
162,69,102,660,64,10,33,5
163,4,9,1,1,3,0,0
164,15,111,759,6,14,37,2
165,12,21,6,1,11,1,0
166,15,26,15,10,8,7,0
167,12,22,1,1,11,1,0
168,10,7,1,1,9,1,0
169,22,131,113,8,22,6,0
170,5,15,9,1,4,7,0
171,9,75,258,4,8,8,1
172,14,10,3,5,9,2,0
173,86,152,802,74,23,35,2
174,36,1,0,36,1,1,0
175,6,16,0,5,1,3,0
176,7,58,52,1,7,10,0
177,30,126,53,17,20,12,3
178,6,9,15,4,3,6,0
179,16,73,76,5,16,4,2
180,7,55,77,3,7,4,0
181,2,6,6,2,0,3,0
182,29,94,139,10,21,17,2
183,6,13,4,3,4,4,0
184,11,13,3,1,10,1,0
185,8,31,14,6,7,11,3
186,28,18,54,27,3,12,2
187,8,54,7,3,7,3,2
188,13,1,0,13,0,0,0
189,4,9,1,1,3,0,0
190,4,2,0,2,2,1,0
191,3,5,0,2,1,3,0
192,14,64,125,13,9,8,1
193,15,32,0,8,9,3,0
194,4,8,0,1,3,0,0
195,7,32,2,3,6,1,0
196,9,7,1,3,6,1,0
197,6,34,4,2,5,1,1
198,14,28,1,3,14,2,0
199,2,41,13,0,2,5,0
200,1,5,1,0,1,2,0
201,3,17,1,1,2,3,1
202,10,25,22,9,5,6,0
203,12,46,17,10,3,8,0
204,4,21,0,1,3,0,0
205,3,11,9,1,3,5,0
206,16,14,3,8,8,5,0
207,5,22,0,1,4,0,0
208,10,22,2,2,8,3,0
209,9,21,0,2,7,6,0
210,2,7,0,1,1,3,0
211,4,6,15,4,1,6,0
212,4,2,0,2,2,1,1
213,10,12,30,10,2,7,0
214,15,24,10,2,13,1,0
215,52,205,1652,26,37,27,9
216,6,42,6,2,5,3,0
217,5,36,24,3,2,7,0
218,59,139,1019,45,21,45,0
219,18,123,122,11,14,11,4
220,4,21,1,1,3,1,1
221,7,35,37,4,4,11,1
222,9,2,0,7,2,1,0
223,23,27,29,21,2,8,0
224,15,9,12,13,2,0,0
225,2,24,0,1,1,3,0
226,13,104,11,2,13,3,0
227,25,104,312,7,21,22,4
228,4,4,6,4,1,4,0
229,3,16,3,1,2,3,0
230,6,18,3,5,2,1,0
231,9,5,6,9,0,4,0
232,2,1,0,2,0,0,0
233,36,121,228,10,29,30,1
234,5,66,3,1,4,6,0
235,2,7,0,1,1,3,0
236,11,5,0,11,0,4,1
237,7,10,0,7,1,2,0
238,38,109,1019,16,25,26,0
239,3,2,0,1,2,1,0
240,4,22,3,1,3,0,0
241,4,18,8,0,4,5,0
242,7,36,36,1,7,8,0
243,5,2,0,3,2,1,0
244,3,40,25,3,0,21,0
245,4,8,4,1,3,0,0
246,47,138,1259,37,18,38,0
247,19,89,206,16,6,15,1
248,4,8,0,4,0,6,0
249,5,20,0,3,2,9,0
250,3,25,0,2,1,0,0
251,10,38,311,7,3,23,0
252,2,3,1,2,0,0,0
253,5,4,6,5,0,4,0
254,5,12,0,2,3,0,0
255,6,39,6,3,4,3,0
256,4,18,8,0,4,5,0
257,2,24,35,1,1,7,0
258,6,36,3,3,4,3,0
259,4,2,1,3,2,2,0
260,41,77,898,36,5,28,0
261,24,112,666,12,15,14,0
262,2,16,0,2,0,8,0
263,1,2,0,1,0,0,0
264,14,52,107,13,5,9,0
265,3,2,1,3,0,2,0
266,5,76,98,3,4,4,0
267,11,15,1,2,10,2,0
268,20,13,3,20,3,3,0
269,9,16,91,7,2,14,0
270,8,13,4,4,4,4,0
271,6,58,20,2,6,3,0
272,18,24,11,17,1,9,0
273,11,33,6,1,10,1,0
274,9,7,1,1,8,1,0
275,27,78,230,17,17,20,6
276,10,6,1,5,5,1,0
277,11,27,0,4,8,0,2
278,5,31,0,4,1,8,0
279,4,13,1,2,3,2,0
280,10,65,34,3,9,1,2
281,7,4,1,7,0,2,0
282,6,28,31,1,5,7,0
283,8,24,1,2,8,2,0
284,17,86,48,5,17,7,6
285,7,6,1,1,6,1,0
286,5,26,0,2,5,1,3
287,1,2,0,1,0,0,0
288,12,94,210,5,9,20,0
289,4,35,0,2,3,3,0
290,13,78,55,2,12,4,0
291,50,31,147,46,7,19,0
292,3,2,0,1,2,1,0
293,10,9,1,2,8,1,0
294,5,2,1,5,1,2,0
295,11,30,152,7,4,20,1
296,10,33,4,5,7,2,0
297,7,32,11,4,6,0,0
298,2,14,49,2,1,11,0
299,12,14,5,9,5,5,0
300,8,5,10,8,1,5,0
301,2,2,1,2,1,2,0
302,9,14,0,8,2,0,1
303,2,20,15,2,0,4,0
304,39,25,0,38,2,11,0
305,19,67,55,10,16,8,2
306,16,46,15,3,13,6,0
